Threshold,0.3372941017150879,0.43864553708296555,0.5399969724508432,0.6413484078187208,0.7426998431865985,0.8440512785544763,0.9454027139223539,1.0467541492902315,1.1481055846581092,1.249457020025987,1.3508084553938646,1.4521598907617421,1.5535113261296198,1.6548627614974976
MLP,0.523,0.556,0.583,0.596,0.544,0.528,0.508,0.501,0.501,0.501,0.501,0.501,0.501,0.501,
VGG19,0.512,0.522,0.521,0.545,0.544,0.531,0.506,0.501,0.501,0.501,0.501,0.501,0.501,0.501,
ResNet50,0.527,0.558,0.603,0.605,0.586,0.538,0.51,0.501,0.501,0.501,0.501,0.501,0.501,0.501,
